Submit_ID,Brand_Reg,Model_No,Family Name,SoldIn,Country,screensize,Screen_Area,Screen_Tech,Pasv_stnd_power,Act_stnd_power,Act_stnd_time,Avg_mode_power,Star,SRI,CEC,SubmitStatus,ExpDate,GrandDate,Product Class,Availability Status,Star2,Product Website,Representative Brand URL,Star Rating Index,Star Image Large,Star Image Small,Power supply,Tuner Type,What test standard was used,Registration Number
92864,SONIQ,E43V15D-XX,E43V15D-XX,"Australia,Fiji,New Zealand",China,107.987,4982.7128,LCD (LED),0.298,0.0,0.0,46.2,,,207.0,Approved,2020-10-28,,Single product class,Available,5.0,,,5.21996419491161,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1632
92869,JVC,LT-28ND35A,,"Australia,Fiji,New Zealand",China,69.866,2096.100006,LCD (LED),,,,28.3,,,115.0,Approved,2020-09-03,,Single product class,Available,4.5,,,4.67610746840959,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1573
92871,JVC,LT-48N550Z,,"Australia,Fiji,New Zealand",China,120.94,6249.851136,LCD (LED),,,,56.0,,,215.0,Approved,2020-08-27,,Single product class,Available,5.5,,,5.95205784030902,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1570
92906,JVC,LT-65N550Z,,"Australia,Fiji,New Zealand",China,163.896,11478.122496,LCD (LED),0.0,0.0,0.0,158.3,,,590.0,Approved,2020-08-28,,Single product class,Available,3.5,,,3.94176678262458,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1571
93000,JVC,LT-58N550Z,,"Australia,Fiji,New Zealand",China,146.068,9162.865152,LCD (LED),0.0,0.0,0.0,108.0,,,405.0,Approved,2020-09-03,,Single product class,Available,4.5,,,4.68289179339109,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1572
93065,Changhong,LED24D1050DV,,"Australia,Fiji,New Zealand",China,59.827,1529.038,LCD (LED),0.51,0.0,0.0,18.97,,,83.0,Approved,2020-09-11,,Single product class,Available,5.0,http://www.changhong.com.au/,http://www.changhong.com.au/,5.12185304730881,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,EPS,unknown,AS/NZS 62087.1:2010,ATV1579
93068,Changhong,LED58D2600,,"Australia,Fiji,New Zealand",China,146.068,9162.865152,LCD (LED),0.3,0.0,0.0,102.41,,,376.0,Approved,2020-09-08,,Single product class,Available,5.0,http://www.changhong.com.au/,http://www.changhong.com.au/,5.01585200344003,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-5.png,Internal,unknown,AS/NZS 62087.1:2010,ATV1578
93069,KOGAN,KALED55XXXVA,,"Australia,Fiji,New Zealand",China,138.783,8230.1184,LCD (LED),0.42,0.0,0.0,60.61,9.0,9.71699568049361,233.0,Approved,2020-11-03,,Single product class,Available,6.0,,,6.71523803875386,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1646
93094,Platinum,PT1918LEDDVD,,Australia,China,47.692,975.25,LCD (LED),0.0,0.0,0.0,17.1,,,65.0,Approved,2020-09-22,,Single product class,Available,4.5,http://www.expressluck.com/,,4.93763652018228,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,EPS,unknown,AS/NZS 62087.1:2010,ATV1596
93097,Kogan,KALED46BLSWC,,Australia,China,116.846,5814.0,LCD (LED),0.0,0.0,0.0,100.1,,,368.0,Approved,2020-09-15,,Single product class,Unavailable,3.0,,http://www.kogan.com/au/,3.25330922086555,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,Internal,Digital,AS/NZS 62087.1:2010,ATV1587
93113,KONKA,KDL40JT628A,,New Zealand,China,101.609,4411.6164,LCD (LED),0.30996,0.0,0.0,57.6768,7.0,7.4133337856729,223.0,Approved,2115-09-09,,Single product class,Available,4.0,,,4.41169654937999,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ZTV0253
93119,PHILIPS,65PUT6800/79,,"Australia,New Zealand",China,163.897,11477.9975,LCD,0.28,0.0,0.0,90.0,,,330.0,Approved,2020-09-15,,Single product class,Unavailable,6.0,,,6.54555979055967,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_6_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-6.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1586
93146,PENDO,PNDLFHU55,,"Australia,Fiji,New Zealand",China,138.783,8230.1184,LCD (LED),0.29,0.0,0.0,90.8,7.0,7.89352958200525,350.0,Approved,2020-09-28,,Single product class,Available,4.5,,,4.8917719402655,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.5.png,Internal,Analogue/Digital,AS/NZS 62087.1:2010,ATV1605
